patch,Faustus,Ritual,Ultimatum,3.18,3.19,3.20,3.21,3.22,3.23,3.24,3.25,All samples
Broken Truce,175,3,4,0,1464,1408,1611,1635,1468,1607,1437,
Call to the First Ones,175,3,4,1546,1422,1250,1744,1564,1758,1383,1604,
Dialla's Subjugation,175,3,4,1451,1401,1065,1024,1106,1323,1131,1138,
Earth Drinker,175,3,4,1059,1256,1293,2021,1337,1398,1458,1449,
Ever-Changing,175,3,4,0,0,1229,1186,1353,1317,1341,1350,
Guardian's Challenge,175,3,4,1316,1078,1119,1611,1396,1379,1151,1484,
Heterochromia,175,3,4,443,1317,1467,1909,1770,1539,1708,1752,
The Deceiver,175,3,4,2261,1638,1656,1405,1308,1526,1513,1454,
The Easy Stroll,175,3,4,1475,1638,1618,1717,1657,1539,1394,1490,
The Fortunate,175,3,4,0,0,0,0,1226,1195,1192,1373,
The Golden Era,175,3,4,1282,1040,1364,1611,1345,1243,1294,1299,
The Insatiable,175,3,4,71,1002,1106,1559,1218,1329,1072,1209,
The Mercenary,175,3,4,650,1572,1633,1507,1516,1348,1442,1514,
The Price of Protection,175,3,4,1599,1059,1602,1209,1612,1373,1507,1556,
Vile Power,175,3,4,1208,0,1328,1306,1590,1262,1447,1544,
Alivia's Grace,175,4,4,0,0,1437,2106,1798,1651,1864,1727,
The Beast,175,4,4,3854,1401,1797,1690,1793,1882,1601,1924,
The Oath,175,4,4,1970,1443,1829,1936,1905,1657,1442,1556,
The Pack Leader,175,4,4,1269,1638,1813,1431,1766,1785,1754,1989,
The Union,175,4,4,5212,4022,4783,5126,5203,5109,5100,1132,
The Admirer,175,Boss,4,1453,1486,1695,1533,1564,1591,0,0,
The Fathomless Depths,175,Boss,4,1235,1137,1208,1356,1370,1160,0,0,
The Messenger,175,Boss,4,1215,1059,1194,979,1271,1280,0,0,
A Mother's Parting Gift,200,3,4,24257,2125,841,1092,1142,904,1127,1042,
Atziri's Arsenal,200,3,4,1720,1297,1013,891,1218,1032,1131,1316,
Death,200,3,4,4549,1216,948,1092,1197,1274,1217,1344,
Lingering Remnants,200,3,3,2132,1728,1837,2281,1146,1113,1014,888,
The Deal,200,3,4,965,1021,1039,1092,1021,1026,943,923,
The Dreamland,200,3,4,3375,2246,2745,1331,1197,1037,1136,1181,
The Encroaching Darkness,200,3,3,1604,820,733,979,1029,818,856,747,
The Forward Gaze,200,3,4,1246,820,1140,1356,1154,1154,995,928,
The Gentleman,200,3,4,4316,1117,1482,1209,1201,1219,1102,1449,
The Incantation,200,3,4,24227,1196,1208,1456,1271,1154,1192,1132,
The Innocent,200,3,4,1114,1317,1085,1162,1134,942,1058,1089,
The Landing,200,3,3,902,684,872,957,898,937,843,853,
The Lord in Black,200,3,3,1059,946,1013,1115,961,1148,874,800,
The Primordial,200,3,3,1658,838,709,1024,894,792,861,953,
The Realm,200,3,3,438,381,505,827,1071,855,934,878,
The Return of the Rat,200,3,3,0,0,866,806,946,797,820,948,
The Saint's Treasure,200,3,4,1175,983,961,1024,1158,1020,1043,1068,
The Traitor,200,3,4,1074,965,1188,891,1138,1262,1263,1165,
The Undaunted,200,3,3,425,751,835,935,961,823,888,903,
The Wolverine,200,3,4,1482,1256,1208,1533,1279,1207,1102,1373,
Triskaidekaphobia,200,3,4,1104,1002,1153,1356,1158,1354,1072,1154,
The Dark Mage,200,,3,969,751,916,1069,1002,937,953,995,
Demigod's Wager,225,3,3,551,651,537,588,642,695,576,641,
Haunting Shadows,225,3,3,562,230,224,411,298,612,540,691,
Immortal Resolve,225,3,3,653,602,613,551,635,641,834,696,
The Bear Woman,225,3,3,725,635,762,684,780,655,724,868,
The Celestial Justicar,225,3,3,731,602,703,913,858,761,829,628,
The Fox in the Brambles,225,3,3,1864,480,715,744,791,670,759,668,
The Journey,225,3,3,767,651,715,645,753,787,620,655,
The Lord of Celebration,225,3,3,767,618,646,607,784,705,686,495,
The Patient,225,3,3,1442,667,762,785,712,802,677,747,
The Spoiled Prince,225,3,3,864,510,756,848,905,855,838,893,
Treasure Hunter,225,3,1,695,803,897,1092,924,766,939,69,
Vanity,225,3,3,1585,2471,1497,1405,639,583,564,602,
Boon of the First Ones,225,Boss,3,690,602,542,645,691,756,0,0,
A Dab of Ink,250,3,2,1000,480,376,330,531,496,483,385,
Arrogance of the Vaal,250,3,3,4415,717,459,684,665,607,476,529,
Astral Protection,250,3,3,0,495,434,744,632,636,604,550,
"Brush, Paint and Palette",250,3,3,661,465,675,479,622,612,552,610,
Buried Treasure,250,3,3,981,910,739,827,1130,1032,616,597,
Lachrymal Necrosis,250,3,2,521,437,391,626,543,560,588,562,
Light and Truth,250,3,3,3035,480,607,626,562,636,628,691,
Man With Bear,250,3,3,0,0,1065,1306,1025,920,544,700,
